Table S1. Processed bacterial abundance data used for statistical analysis and comparisons between groups (log10-transformed),,,,,,,,,,,,,,,,,,,,
#NAME,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
ASV30,3.93559289,3.995839145,1.14369729,0.319007012,1.788244853,3.412830498,3.050563975,0.004321374,3.943379624,3.703299837,3.413707841,3.413707841,0.877118324,0.004321374,0.004321374,1.682710965,3.988220976,3.899243105,4.034986273,4.088799788
ASV31,3.921354146,3.904769009,1.133729457,0.318552493,1.77794047,3.412830498,3.040309811,0.004321374,3.962972975,3.726776361,3.413707841,3.413707841,0.886798323,0.004321374,0.004321374,1.674776359,3.993972712,3.852252865,4.111994881,4.048686025
ASV32,3.956112209,4.018699757,1.172081693,0.335082594,1.741527462,3.412830498,3.055583069,0.004321374,3.893900292,3.809736285,3.413707841,3.413707841,0.942439723,0.004321374,0.004321374,1.698281435,3.939239897,3.910237107,4.034986273,3.946500818
ASV33,3.921354146,3.842629505,1.159264342,0.353946971,1.77794047,3.412830498,3.035866442,0.004321374,3.929808403,3.726776361,3.413707841,3.413707841,0.923580555,0.004321374,0.004321374,1.684497193,3.891322231,4.024168013,4.021826072,3.97230522
ASV34,2.656098516,2.070319929,3.760337177,4.006362118,4.07125744,3.403770123,3.369420633,3.323837354,1.332535216,2.645639673,3.748592132,3.826788022,0.963643865,0.004321374,3.635826443,3.613073225,3.544603594,3.144839253,4.015093341,3.414038151
ASV35,3.412979366,3.412303752,3.448047803,4.108061988,3.411811091,3.412830498,3.330996778,4.052260569,3.411610149,3.323638336,3.413707841,3.413707841,3.407955975,3.406300183,4.446684422,4.17409706,3.413823711,3.413598658,3.41408254,3.414038151
ASV36,3.842183415,3.825598686,1.158765702,0.386866984,1.704035524,3.412830498,3.033774648,0.004321374,3.936647022,3.895154342,3.413707841,3.413707841,0.948531699,0.004321374,0.004321374,1.69105787,3.861363031,3.931423838,3.957107446,3.899763053
ASV37,3.776692135,3.770090295,1.220533846,0.409977469,1.667029484,3.412830498,3.036048411,0.004321374,3.793244739,3.979465373,3.413707841,3.413707841,0.982276572,0.004321374,0.004321374,1.747427473,3.939239897,3.951624889,3.842402512,3.909521662
ASV38,3.859214328,4.018699757,1.221186643,0.397850414,1.788244853,3.412830498,3.060593659,0.004321374,3.802583263,3.703299837,3.413707841,3.413707841,1.044724764,0.004321374,0.004321374,1.741860099,3.884023947,3.83966555,3.842402512,3.733457414
ASV39,3.850782349,3.959120245,1.221899106,0.414857661,1.77794047,3.412830498,3.054086945,0.004321374,3.811725202,3.726776361,3.413707841,3.413707841,1.037097614,0.004321374,0.004321374,1.737851021,3.829182991,3.706149484,3.949282989,3.747695239
