Table S8. Normalized and imputed Genus abundance quantification table for all samples (log10-transformed),,,,,,,,,,,,,,,,,,,,,,
Genus,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE,TOTAL,PERCENTAGE
Citrobacter,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,4.08552622,11.42139451,0.02160687,3.82702178,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,19.7012593,0.100165023
Cloacibacterium,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.052137253,0.008642748,0.008642748,0.008642748,3.326103187,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.533809904,0.033219157
Clostridium_sensu_stricto_1,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,7.29798005,0.02160687,3.28679293,2.84732102,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,3.27394745,0.02160687,0.02160687,0.02160687,0.02160687,17.05175137,0.086694411
Clostridium_sensu_stricto_7,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.475647626,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.557753732,0.013004116
Clostridium_sensu_stricto_8,0.004321374,0.004321374,0.004321374,3.149297539,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.231403645,0.016429083
Cnuella,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.130741026,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.212847132,0.016334738
Cohaesibacter,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.57859018,3.660696286,0.01861169
Cohnella,0.004321374,0.004321374,0.004321374,3.680556847,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.762662953,0.019130108
Comamonas,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,2.80150033,0.01296412,0.01296412,0.01296412,7.68422251,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,10.719077,0.054497866
Confluentibacter,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.535003875,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.617109981,0.018390089
