Table S10. Processed feature quantification table of metabolomics data (log2-transformed),,,,,,,,,,,,,,,,,,,,,,,
feature,QC1,QC2,QC3,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
feature,QC,QC,QC,NEA,NEH,EA,EH,EA,EH,EA,EH,EA,EH,EA,EH,NEA,NEH,NEA,NEH,NEA,NEH,NEA,NEH
560.422777967426_28.042086,11.46631678,4.979159029,11.21183951,3.394400446,0.394900182,2.411281724,3.815316314,5.675817395,6.386817034,0.600456788,2.604788613,14.56396131,8.077167689,3.211853099,1.317210251,4.061783912,4.094532006,5.038385899,8.108362453,0.728739277,2.060017962,6.4858906,2.584489037
395.280208223059_17.835905,3.874002144,4.926599378,9.064319772,7.941486109,7.622592212,11.43552604,5.375565259,4.695313437,2.300347128,4.05822299,4.773291452,5.727884487,9.38894767,7.750059131,4.938649992,8.285837487,4.608253817,6.972307176,10.79975388,7.925442569,11.99602749,6.837587111,5.91352499
399.243044514048_24.888575,1.917300461,7.760347316,1.535009629,1.362430497,11.72369553,1.998398958,1.443267394,1.402129116,12.45148485,2.051134921,12.54471437,1.27571715,2.780881422,0.167493251,4.011637462,2.065418936,11.90802418,1.627815602,3.570504521,2.652340218,4.194478884,4.129136292,3.841064619
474.852912630353_26.424282,0.831938847,1.686414651,1.443044098,0.132075393,1.299291334,1.762067738,10.10286194,1.404664123,1.323418383,0.735538784,1.292537742,0.738402917,0.724189907,1.653118402,2.248246627,1.515077476,0.643828224,1.318222343,1.045293337,2.714322362,0.176360983,0.092210581,0.504057847
499.348805381704_15.8130455,0.959332266,0.83034483,1.588791514,1.499034986,2.6559958,2.615260911,10.07233571,0.757889876,1.837126831,1.852149218,1.375508231,1.376639357,2.260325847,2.357352023,2.531809423,2.212274749,0.198546653,1.762817743,3.533426781,2.154986211,4.171041514,1.609920987,2.120335656
386.29579852707_26.58324,2.53034406,1.902943036,1.915863142,2.124036447,1.298982835,1.622826916,2.234176001,1.530090395,1.441740197,1.098840139,0.589668725,10.35984476,2.04481908,0.167493251,0.811183822,2.464200036,0.731474991,1.752868296,1.786066881,0.674066451,1.449761028,2.093814817,0.676340721
455.322703965973_15.387293,0.439784221,2.149181663,0.946205674,1.458346079,2.008115053,1.967979447,10.0114242,0.160006943,3.185399554,1.535222783,1.816251285,1.053400116,1.788914145,2.514095457,1.999509043,0.924091034,2.086821762,0.863798511,2.142562057,1.843921922,2.027439318,2.366673334,2.034116377
647.486489706877_28.587212,10.26888912,10.9571281,10.71794485,2.788680425,0.744591876,0.645542751,0.830907374,2.509109254,2.259058379,0.287372345,2.421321794,5.659447762,4.045983111,1.798703538,0.730286014,2.545471798,4.674374816,2.706062824,6.833459164,0.553743382,1.937316058,4.297194296,4.660501613
416.269408298265_24.749609,1.894047018,0.239512963,0.120532966,0.888852344,1.417627427,0.675120723,3.967191784,0.160006943,10.46977125,0.747602367,11.199403,0.148346834,1.103086509,1.966683466,2.461543159,1.687373995,2.081314589,0.340254021,0.51003094,1.004809049,1.811137719,1.620068517,1.396395824
1078.82727010164_27.835285,7.216921244,10.77212733,9.078399828,2.67575766,1.810280545,1.536200609,0.97332046,3.968642046,1.827481222,1.586983337,1.794308823,1.19363816,1.91578325,2.607618097,3.499235135,3.888931483,4.483330633,4.303168427,7.924003461,1.214964956,3.665998196,1.094653861,5.154650917
